family,phi,lambda,replicate,theta_obs_independent,theta_obs_raw_independent,p_annual_independent,p_native_independent,annual_reject_independent,native_reject_independent,annual_only_independent,native_only_independent,annual_spectral_error_median,native_spectral_error_median,native_month_exact_fraction,theta_obs,theta_abs_diff
gaussian,0.8,1.0,236,1.0,1.0202272727272728,1.0,1.0,False,False,False,False,0.001592445351283552,0.00022136685615201495,1.0,1.0,0.0
gaussian,0.8,1.0,241,0.8052013656633222,0.8052013656633222,0.23,0.23,False,False,False,False,0.0019323237553252005,0.00021472495982577215,1.0,0.8052013656633222,0.0
gaussian,0.8,1.0,244,1.0,1.0717399920729291,1.0,1.0,False,False,False,False,0.0005892029744553258,0.00022787064111011926,1.0,1.0,0.0
gaussian,0.8,2.0,12,1.0,1.1545417180435675,1.0,1.0,False,False,False,False,0.0037353788740812845,0.00022719124476220328,1.0,1.0,0.0
gaussian,0.8,1.0,248,0.9804300742574258,0.9804300742574258,0.21,0.34,False,False,False,False,0.0008104563374242745,0.0002107811695508396,1.0,0.9804300742574258,0.0
gaussian,0.8,2.0,20,0.9868020304568528,0.9868020304568528,0.23,0.49,False,False,False,False,0.0002262370530183898,0.00022412372888797855,1.0,0.9868020304568528,0.0
gaussian,0.8,2.0,100,0.7770089285714286,0.7770089285714286,0.09,0.28,False,False,False,False,0.0007147376276177408,0.00023077606059312917,1.0,0.7770089285714286,0.0
gaussian,0.8,2.0,120,0.798710271764164,0.798710271764164,0.07,0.17,False,False,False,False,0.0009226033848587138,0.00022437367498156013,1.0,0.798710271764164,0.0
gaussian,0.8,2.0,153,0.9172125181950509,0.9172125181950509,0.13,0.22,False,False,False,False,0.001232327730876048,0.00020552448431243242,1.0,0.9172125181950508,1.1102230246251565e-16
gaussian,0.8,2.0,207,1.0,1.0058338362502515,1.0,1.0,False,False,False,False,0.0007863820629473821,0.00021671058741095148,1.0,1.0,0.0
gaussian,0.8,2.0,219,0.7542538354253835,0.7542538354253835,0.06,0.06,False,False,False,False,0.0007259989063043485,0.00023080347879974382,1.0,0.7542538354253835,0.0
gaussian,0.8,2.0,224,1.0,1.0092275494672756,1.0,1.0,False,False,False,False,0.0003240102891634192,0.00021619413890494469,1.0,1.0,0.0
gaussian,0.8,2.0,245,1.0,1.0537207357859533,1.0,1.0,False,False,False,False,0.000246787031408718,0.00021825769922715425,1.0,1.0,0.0
gaussian,0.8,2.0,275,1.0,1.109200043066322,1.0,1.0,False,False,False,False,0.0006020111416857165,0.00022495889623333696,1.0,1.0,0.0
gaussian,0.8,4.0,64,1.0,1.0480435859336306,1.0,1.0,False,False,False,False,0.0010511800666371616,0.0002089086575379257,1.0,1.0,0.0
gaussian,0.8,4.0,92,0.5548007246376812,0.5548007246376812,0.03,0.02,True,True,False,False,0.00196977135647472,0.00021456239707482556,1.0,0.5548007246376812,0.0
gaussian,0.8,4.0,107,0.7892363904532046,0.7892363904532046,0.16,0.3,False,False,False,False,0.0008599579323376326,0.0002144521596718274,1.0,0.7892363904532046,0.0
gaussian,0.8,4.0,118,0.7767334605597964,0.7767334605597964,0.02,0.13,True,False,True,False,0.00046944735797108084,0.00023458171687234998,1.0,0.7767334605597964,0.0
gaussian,0.8,4.0,170,1.0,1.04104736424891,1.0,1.0,False,False,False,False,0.0010801143929827883,0.00021186933880466675,1.0,1.0,0.0
